Date,Adj Close,R,Training,R.normed,X1,X2,X3,X4,X5,Y
04/02/2014,15445.24023,0.004712246,1,0.529342225,0.539908484,0.355964107,0.552966459,0.381662464,0.263620768,0.529342225
05/02/2014,15440.23047,-0.000324356,1,0.476819988,0.355964107,0.552966459,0.381662464,0.263620768,0.529342225,0.476819988
06/02/2014,15628.53027,0.012195401,1,0.607377371,0.552966459,0.381662464,0.263620768,0.529342225,0.476819988,0.607377371
07/02/2014,15794.08008,0.010592795,1,0.590665219,0.381662464,0.263620768,0.529342225,0.476819988,0.607377371,0.590665219
10/02/2014,15801.79004,0.000488155,1,0.485292944,0.263620768,0.529342225,0.476819988,0.607377371,0.590665219,0.485292944
11/02/2014,15994.76953,0.012212508,1,0.607555768,0.529342225,0.476819988,0.607377371,0.590665219,0.485292944,0.607555768
12/02/2014,15963.94043,-0.001927449,1,0.460102765,0.476819988,0.607377371,0.590665219,0.485292944,0.607555768,0.460102765
13/02/2014,16027.58984,0.003987074,1,0.521780048,0.607377371,0.590665219,0.485292944,0.607555768,0.460102765,0.521780048
14/02/2014,16154.38965,0.007911346,1,0.562702784,0.590665219,0.485292944,0.607555768,0.460102765,0.521780048,0.562702784
18/02/2014,16130.40039,-0.001484999,1,0.464716675,0.485292944,0.607555768,0.460102765,0.521780048,0.562702784,0.464716675
19/02/2014,16040.55957,-0.005569658,1,0.422121409,0.607555768,0.460102765,0.521780048,0.562702784,0.464716675,0.422121409
20/02/2014,16133.23047,0.005777286,1,0.540448574,0.460102765,0.521780048,0.562702784,0.464716675,0.422121409,0.540448574
21/02/2014,16103.29981,-0.001855218,1,0.460855996,0.521780048,0.562702784,0.464716675,0.422121409,0.540448574,0.460855996
24/02/2014,16207.13965,0.006448358,1,0.547446584,0.562702784,0.464716675,0.422121409,0.540448574,0.460855996,0.547446584
25/02/2014,16179.66016,-0.001695518,1,0.462521369,0.464716675,0.422121409,0.540448574,0.460855996,0.547446584,0.462521369
26/02/2014,16198.41016,0.001158862,1,0.492287153,0.422121409,0.540448574,0.460855996,0.547446584,0.462521369,0.492287153
27/02/2014,16272.65039,0.00458318,1,0.527996308,0.540448574,0.460855996,0.547446584,0.462521369,0.492287153,0.527996308
28/02/2014,16321.70996,0.003014848,1,0.511641573,0.460855996,0.547446584,0.462521369,0.492287153,0.527996308,0.511641573
03/03/2014,16168.03027,-0.009415661,1,0.382014876,0.547446584,0.462521369,0.492287153,0.527996308,0.511641573,0.382014876
04/03/2014,16395.88086,0.014092662,1,0.627162218,0.462521369,0.492287153,0.527996308,0.511641573,0.382014876,0.627162218
05/03/2014,16360.17969,-0.002177448,1,0.457495752,0.492287153,0.527996308,0.511641573,0.382014876,0.627162218,0.457495752
06/03/2014,16421.89063,0.003772021,1,0.519537453,0.527996308,0.511641573,0.382014876,0.627162218,0.457495752,0.519537453
07/03/2014,16452.7207,0.001877376,1,0.499779895,0.511641573,0.382014876,0.627162218,0.457495752,0.519537453,0.499779895
10/03/2014,16418.67969,-0.00206902,1,0.458626444,0.382014876,0.627162218,0.457495752,0.519537453,0.499779895,0.458626444
11/03/2014,16351.25,-0.004106889,1,0.43737533,0.627162218,0.457495752,0.519537453,0.499779895,0.458626444,0.43737533
12/03/2014,16340.08008,-0.000683123,1,0.473078726,0.457495752,0.519537453,0.499779895,0.458626444,0.43737533,0.473078726
13/03/2014,16108.88965,-0.014148672,1,0.332658528,0.519537453,0.499779895,0.458626444,0.43737533,0.473078726,0.332658528
14/03/2014,16065.66992,-0.002682974,1,0.452224068,0.499779895,0.458626444,0.43737533,0.473078726,0.332658528,0.452224068
17/03/2014,16247.21973,0.011300482,1,0.598045058,0.458626444,0.43737533,0.473078726,0.332658528,0.452224068,0.598045058
18/03/2014,16336.19043,0.005476057,1,0.537307325,0.43737533,0.473078726,0.332658528,0.452224068,0.598045058,0.537307325
19/03/2014,16222.16992,-0.006979627,1,0.407418108,0.473078726,0.332658528,0.452224068,0.598045058,0.537307325,0.407418108
20/03/2014,16331.04981,0.006711796,1,0.550193742,0.332658528,0.452224068,0.598045058,0.537307325,0.407418108,0.550193742
21/03/2014,16302.76953,-0.001731688,1,0.462144182,0.452224068,0.598045058,0.537307325,0.407418108,0.550193742,0.462144182
24/03/2014,16276.69043,-0.001599673,1,0.463520847,0.598045058,0.537307325,0.407418108,0.550193742,0.462144182,0.463520847
25/03/2014,16367.87988,0.005602456,1,0.538625433,0.537307325,0.407418108,0.550193742,0.462144182,0.463520847,0.538625433
26/03/2014,16268.99023,-0.00604169,1,0.417199016,0.407418108,0.550193742,0.462144182,0.463520847,0.538625433,0.417199016
27/03/2014,16264.23047,-0.000292566,1,0.477151496,0.550193742,0.462144182,0.463520847,0.538625433,0.417199016,0.477151496
28/03/2014,16323.05957,0.003617085,1,0.517921762,0.462144182,0.463520847,0.538625433,0.417199016,0.477151496,0.517921762
31/03/2014,16457.66016,0.008246039,1,0.566193,0.463520847,0.538625433,0.417199016,0.477151496,0.517921762,0.566193
01/04/2014,16532.60938,0.004554063,1,0.527692671,0.538625433,0.417199016,0.477151496,0.517921762,0.566193,0.527692671
02/04/2014,16573,0.002443088,1,0.505679197,0.417199016,0.477151496,0.517921762,0.566193,0.527692671,0.505679197
03/04/2014,16572.55078,-2.71055E-05,1,0.479919751,0.477151496,0.517921762,0.566193,0.527692671,0.505679197,0.479919751
04/04/2014,16412.71094,-0.009644854,1,0.379624823,0.517921762,0.566193,0.527692671,0.505679197,0.479919751,0.379624823
07/04/2014,16245.87012,-0.010165342,1,0.374197123,0.566193,0.527692671,0.505679197,0.479919751,0.379624823,0.374197123
08/04/2014,16256.13965,0.000632132,1,0.486794348,0.527692671,0.505679197,0.479919751,0.379624823,0.374197123,0.486794348
09/04/2014,16437.17969,0.011136718,1,0.596337309,0.505679197,0.479919751,0.379624823,0.374197123,0.486794348,0.596337309
10/04/2014,16170.21973,-0.016241227,1,0.31083714,0.479919751,0.379624823,0.374197123,0.486794348,0.596337309,0.31083714
11/04/2014,16026.75,-0.008872466,1,0.38767937,0.379624823,0.374197123,0.486794348,0.596337309,0.31083714,0.38767937
14/04/2014,16173.24023,0.009140358,1,0.575519051,0.374197123,0.486794348,0.596337309,0.31083714,0.38767937,0.575519051
15/04/2014,16262.55957,0.005522662,1,0.537793328,0.486794348,0.596337309,0.31083714,0.38767937,0.575519051,0.537793328
16/04/2014,16424.84961,0.009979366,1,0.584268323,0.596337309,0.31083714,0.38767937,0.575519051,0.537793328,0.584268323
17/04/2014,16408.53906,-0.000993041,1,0.46984687,0.31083714,0.38767937,0.575519051,0.537793328,0.584268323,0.46984687
21/04/2014,16449.25,0.002481083,1,0.506075408,0.38767937,0.575519051,0.537793328,0.584268323,0.46984687,0.506075408
22/04/2014,16514.36914,0.003958791,1,0.52148511,0.575519051,0.537793328,0.584268323,0.46984687,0.506075408,0.52148511
23/04/2014,16501.65039,-0.000770163,1,0.472171071,0.537793328,0.584268323,0.46984687,0.506075408,0.52148511,0.472171071
24/04/2014,16501.65039,0,1,0.48020241,0.584268323,0.46984687,0.506075408,0.52148511,0.472171071,0.48020241
25/04/2014,16361.45996,-0.00849554,1,0.39161,0.46984687,0.506075408,0.52148511,0.472171071,0.48020241,0.39161
28/04/2014,16448.74023,0.005334504,1,0.535831193,0.506075408,0.52148511,0.472171071,0.48020241,0.39161,0.535831193
29/04/2014,16535.36914,0.005266598,1,0.535123069,0.52148511,0.472171071,0.48020241,0.39161,0.535831193,0.535123069
30/04/2014,16580.83984,0.002749905,1,0.508878721,0.472171071,0.48020241,0.39161,0.535831193,0.535123069,0.508878721
01/05/2014,16558.86914,-0.001325066,1,0.466384483,0.48020241,0.39161,0.535831193,0.535123069,0.508878721,0.466384483
02/05/2014,16512.89063,-0.00277667,1,0.451246998,0.39161,0.535831193,0.535123069,0.508878721,0.466384483,0.451246998
05/05/2014,16530.55078,0.001069477,1,0.491355028,0.535831193,0.535123069,0.508878721,0.466384483,0.451246998,0.491355028
06/05/2014,16401.01953,-0.00783587,1,0.398489107,0.535123069,0.508878721,0.466384483,0.451246998,0.491355028,0.398489107
07/05/2014,16518.53906,0.00716538,1,0.554923764,0.508878721,0.466384483,0.451246998,0.491355028,0.398489107,0.554923764
08/05/2014,16550.9707,0.001963348,1,0.500676415,0.466384483,0.451246998,0.491355028,0.398489107,0.554923764,0.500676415
09/05/2014,16583.33984,0.001955725,1,0.500596918,0.451246998,0.491355028,0.398489107,0.554923764,0.500676415,0.500596918
12/05/2014,16695.4707,0.006761657,1,0.550713704,0.491355028,0.398489107,0.554923764,0.500676415,0.500596918,0.550713704
13/05/2014,16715.43945,0.001196058,1,0.492675032,0.398489107,0.554923764,0.500676415,0.500596918,0.550713704,0.492675032
14/05/2014,16613.9707,-0.006070361,1,0.416900029,0.554923764,0.500676415,0.500596918,0.550713704,0.492675032,0.416900029
15/05/2014,16446.81055,-0.010061421,1,0.375280825,0.500676415,0.500596918,0.550713704,0.492675032,0.416900029,0.375280825
16/05/2014,16491.31055,0.002705692,1,0.508417657,0.500596918,0.550713704,0.492675032,0.416900029,0.375280825,0.508417657
19/05/2014,16511.85938,0.00124604,1,0.493196248,0.550713704,0.492675032,0.416900029,0.375280825,0.508417657,0.493196248
20/05/2014,16374.30957,-0.008330365,1,0.393332465,0.492675032,0.416900029,0.375280825,0.508417657,0.493196248,0.393332465
21/05/2014,16533.06055,0.009695125,1,0.581304225,0.416900029,0.375280825,0.508417657,0.493196248,0.393332465,0.581304225
22/05/2014,16543.08008,0.00060603,1,0.486522156,0.375280825,0.508417657,0.493196248,0.393332465,0.581304225,0.486522156
23/05/2014,16606.26953,0.003819691,1,0.520034559,0.508417657,0.493196248,0.393332465,0.581304225,0.486522156,0.520034559
27/05/2014,16675.5,0.004168936,1,0.523676523,0.493196248,0.393332465,0.581304225,0.486522156,0.520034559,0.523676523
28/05/2014,16633.17969,-0.002537874,1,0.45373719,0.393332465,0.581304225,0.486522156,0.520034559,0.523676523,0.45373719
29/05/2014,16698.74023,0.003941552,1,0.521305339,0.581304225,0.486522156,0.520034559,0.523676523,0.45373719,0.521305339
30/05/2014,16717.16992,0.001103658,1,0.49171147,0.486522156,0.520034559,0.523676523,0.45373719,0.521305339,0.49171147
02/06/2014,16743.63086,0.00158286,1,0.496708646,0.520034559,0.523676523,0.45373719,0.521305339,0.49171147,0.496708646
03/06/2014,16722.33984,-0.001271589,1,0.46694214,0.523676523,0.45373719,0.521305339,0.49171147,0.496708646,0.46694214
04/06/2014,16737.5293,0.000908333,1,0.489674609,0.45373719,0.521305339,0.49171147,0.496708646,0.46694214,0.489674609
05/06/2014,16836.10938,0.005889763,1,0.541621496,0.521305339,0.49171147,0.496708646,0.46694214,0.489674609,0.541621496
06/06/2014,16924.2793,0.005236953,1,0.534813927,0.49171147,0.496708646,0.46694214,0.489674609,0.541621496,0.534813927
09/06/2014,16943.09961,0.00111203,1,0.491798782,0.496708646,0.46694214,0.489674609,0.541621496,0.534813927,0.491798782
10/06/2014,16945.91992,0.000166458,1,0.481938249,0.46694214,0.489674609,0.541621496,0.534813927,0.491798782,0.481938249
11/06/2014,16843.88086,-0.006021453,1,0.417410046,0.489674609,0.541621496,0.534813927,0.491798782,0.481938249,0.417410046
12/06/2014,16734.18945,-0.006512241,1,0.412292057,0.541621496,0.534813927,0.491798782,0.481938249,0.417410046,0.412292057
13/06/2014,16775.74023,0.002482987,1,0.506095271,0.534813927,0.491798782,0.481938249,0.417410046,0.412292057,0.506095271
16/06/2014,16781.00977,0.000314117,1,0.483478053,0.491798782,0.481938249,0.417410046,0.412292057,0.506095271,0.483478053
17/06/2014,16808.49023,0.001637593,1,0.497279405,0.481938249,0.417410046,0.412292057,0.506095271,0.483478053,0.497279405
18/06/2014,16906.61914,0.005838056,1,0.541082292,0.417410046,0.412292057,0.506095271,0.483478053,0.497279405,0.541082292
19/06/2014,16921.46094,0.000877869,1,0.489356925,0.412292057,0.506095271,0.483478053,0.497279405,0.541082292,0.489356925
20/06/2014,16947.08008,0.001514003,1,0.495990596,0.506095271,0.483478053,0.497279405,0.541082292,0.489356925,0.495990596
23/06/2014,16937.25977,-0.000579469,1,0.474159643,0.483478053,0.497279405,0.541082292,0.489356925,0.495990596,0.474159643
24/06/2014,16818.13086,-0.007033541,1,0.406855883,0.497279405,0.541082292,0.489356925,0.495990596,0.474159643,0.406855883
25/06/2014,16867.50977,0.002936052,1,0.51081988,0.541082292,0.489356925,0.495990596,0.474159643,0.406855883,0.51081988
26/06/2014,16846.13086,-0.001267461,1,0.46698519,0.489356925,0.495990596,0.474159643,0.406855883,0.51081988,0.46698519
27/06/2014,16851.83984,0.00033889,1,0.483736388,0.495990596,0.474159643,0.406855883,0.51081988,0.46698519,0.483736388
30/06/2014,16826.59961,-0.001497773,1,0.464583471,0.474159643,0.406855883,0.51081988,0.46698519,0.483736388,0.464583471
01/07/2014,16956.07031,0.007694407,1,0.560440516,0.406855883,0.51081988,0.46698519,0.483736388,0.464583471,0.560440516
02/07/2014,16976.24023,0.00118954,1,0.49260706,0.51081988,0.46698519,0.483736388,0.464583471,0.560440516,0.49260706
03/07/2014,17068.25977,0.00542049,1,0.536727867,0.46698519,0.483736388,0.464583471,0.560440516,0.49260706,0.536727867
